City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Rundu,NA,-17.9333,19.7667,72.75200000000008,55,100,1.65,overcast clouds
201,Areia Branca,BR,-4.9561,-37.1369,87.99800000000002,72,47,10.22,scattered clouds
202,Romanovka,RU,51.7443,42.7527,46.61600000000001,76,100,6.85,overcast clouds
203,Reconquista,AR,-29.15,-59.65,62.79800000000003,62,100,11.44,overcast clouds
204,San Pedro,PH,14.35,121.0167,79.32200000000003,89,100,3.6,overcast clouds
205,Emborion,GR,40.4833,21.55,53.96000000000008,65,0,1.28,clear sky
206,Carlos Antonio Lopez,PY,-26.4,-54.7667,74.984,92,65,0.16,broken clouds
207,Teguise,ES,29.0605,-13.564,71.816,83,0,1.54,clear sky
208,Salinas,US,36.6777,-121.6555,80.00600000000003,63,0,3.28,clear sky
209,Nizhniy Baskunchak,RU,48.2198,46.8311,50.66600000000001,90,66,8.36,broken clouds
210,Coreau,BR,-3.5333,-40.6567,87.40400000000005,36,2,4.59,clear sky
211,Bagamoyo,TZ,-6.4333,38.9,76.98200000000003,91,92,2.73,overcast clouds
212,Ilulissat,GL,69.2167,-51.1,6.548000000000023,76,36,2.51,scattered clouds
213,Rawatsar,IN,29.2833,74.3833,75.97400000000002,26,0,2.16,clear sky
214,Husavik,IS,66.0449,-17.3389,40.694000000000074,94,98,3.82,overcast clouds
215,Iranshahr,IR,27.2025,60.6848,71.94200000000001,23,0,0.0,clear sky
216,Iqaluit,CA,63.7506,-68.5145,29.930000000000042,92,100,3.09,light snow
217,Tres Arroyos,AR,-38.3739,-60.2798,52.070000000000064,48,61,8.66,broken clouds
218,Menongue,AO,-14.6585,17.691,62.81600000000001,92,100,1.38,overcast clouds
219,Olinda,BR,-8.0089,-34.8553,80.33000000000004,69,40,2.06,scattered clouds
220,Rabo De Peixe,PT,37.8,-25.5833,60.314000000000036,96,40,9.26,scattered clouds
221,Robertsport,LR,6.7533,-11.3686,79.73600000000008,81,6,2.31,light rain
222,Biharamulo,TZ,-2.6319,31.3089,65.78600000000007,69,100,1.07,overcast clouds
223,San Cristobal,VE,7.7669,-72.225,77.18000000000004,58,99,0.41,overcast clouds
224,Iralaya,HN,15.0,-83.2333,84.07400000000001,65,12,4.53,few clouds
225,Bajil,YE,15.0584,43.2851,83.04800000000003,53,89,1.31,overcast clouds
226,Funadhoo,MV,6.15,73.2667,80.6,72,53,3.83,broken clouds
227,Matagami,CA,49.7502,-77.6328,57.30800000000001,47,20,3.6,few clouds
228,El Tigre,VE,8.8875,-64.2454,77.12600000000009,80,100,4.3,overcast clouds
229,Lebork,PL,54.5392,17.7501,47.75,80,20,1.7,few clouds
230,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,72.86000000000008,56,98,9.36,overcast clouds
231,Murgab,TM,37.4966,61.9714,53.47400000000002,76,40,2.06,scattered clouds
232,Dekar,BW,-21.5333,21.9333,74.71400000000003,47,100,1.79,light rain
233,Ibiapina,BR,-3.9233,-40.8894,78.80000000000001,35,7,2.12,clear sky
234,Port Shepstone,ZA,-30.7414,30.455,66.25400000000005,70,100,8.02,light rain
235,Vysha,RU,53.8477,42.3777,35.42000000000006,66,66,5.05,broken clouds
236,Rio Grande,BR,-32.035,-52.0986,75.308,95,100,13.12,very heavy rain
237,Akhalgori,GE,42.126,44.4833,43.682000000000016,61,3,1.87,clear sky
